country;totBrz;pop2022
United States;841;334805.2690
United Kingdom;332;68497.9070
Germany;306;83883.5960
France;327;65584.5180
Italy;261;60262.7700
China;194;1448471.4000
Sweden;234;10218.9710
Australia;215;26068.7920
Japan;200;125584.8380
Russia;187;145805.9470
Norway;160;5511.3700
Canada;209;38388.4190
Hungary;180;9606.2590
Finland;180;5554.9600
Netherlands;163;17211.4470
Switzerland;125;8773.6370
South Korea;114;51329.8990
Austria;128;9066.7100
Poland;145;37739.7850
Romania;122;19031.3350
Cuba;85;11305.6520
Bulgaria;85;6844.5970
Denmark;79;5834.9500
Spain;50;46719.1420
Belgium;61;11668.2780
Brazil;71;215353.5930
Ukraine;72;43192.1220
New Zealand;53;4898.2030
Greece;41;10316.6370
Kenya;36;56215.2210
Turkey;37;85561.9760
Belarus;47;9432.8000
Czech Republic;38;10736.7840
South Africa;29;60756.1350
Jamaica;25;2985.0940
Kazakhstan;40;19205.0430
Argentina;30;46010.2340
Iran;29;86022.8370
Mexico;36;131562.7720
Ethiopia;23;120812.6980
North Korea;23;25990.6790
Croatia;15;4059.2860
Azerbaijan;28;10300.2050
Slovenia;21;2078.0340
Estonia;18;1321.9100
Georgia;18;3968.7380
Slovakia;9;5460.1930
Egypt;19;106156.6920
Uzbekistan;20;34382.0840
Indonesia;15;279134.5050
Ireland;14;5020.1990
Thailand;17;70078.2030
India;16;1406631.7760
Colombia;16;51512.7620
Latvia;11;1848.8370
Mongolia;17;3378.0780
Portugal;14;10140.5700
Nigeria;13;216746.9340
Lithuania;13;2661.7080
Serbia;11;8653.0160
Morocco;12;37772.7560
Trinidad and Tobago;11;1406.5850
Venezuela;9;29266.9910
Armenia;8;2971.9660
Algeria;8;45350.1480
Bahamas;6;400.5160
Tunisia;7;12046.6560
Philippines;8;112508.9940
Israel;9;8922.8920
Chile;4;19250.1950
Malaysia;5;33181.0720
Dominican Republic;4;11056.3700
Uganda;3;48432.8630
Liechtenstein;6;38.3870
Puerto Rico;6;2829.8120
Uruguay;6;3496.0160
Pakistan;4;229488.9940
Hong Kong;4;7604.2990
Qatar;5;2979.9150
Zimbabwe;1;15331.4280
Kyrgyzstan;4;6728.2710
Moldova;4;4013.1710
Cameroon;2;27911.5480
Namibia;0;2633.8740
Singapore;2;5943.5460
Ecuador;0;18113.3610
Ghana;4;32395.4500
Vietnam;1;98953.5410
Iceland;2;345.3930
Luxembourg;0;642.3710
Bahrain;0;1783.9830
Costa Rica;2;5182.3540
Lebanon;2;6684.8490
Tajikistan;2;9957.4640
Syria;2;19364.8090
Ivory Coast;2;27742.2980
Peru;0;33684.2080
Saudi Arabia;2;35844.9090
San Marino;2;34.0850
Grenada;1;113.4750
Fiji;1;909.4660
Kuwait;3;4380.3260
Panama;2;4446.9640
Jordan;1;10300.8690
Bermuda;1;61.9390
Suriname;1;596.8310
North Macedonia;1;2081.3040
Botswana;1;2441.1620
United Arab Emirates;1;10081.7850
Haiti;1;11680.2830
Burundi;0;12624.8400
Zambia;1;19470.2340
Sri Lanka;0;21575.8420
Niger;1;26083.6600
Mozambique;1;33089.4610
Afghanistan;2;40754.3880
Tanzania;0;63298.5500
Tonga;0;107.7490
Samoa;0;202.2390
Barbados;1;288.0230
Montenegro;0;627.9500
Guyana;1;794.0450
Djibouti;1;1016.0970
Cyprus;0;1223.3870
Mauritius;1;1274.7270
Gabon;0;2331.5330
Eritrea;1;3662.2440
Turkmenistan;0;6201.9430
Paraguay;0;7305.8430
Togo;1;8680.8370
Senegal;0;17653.6710
Guatemala;0;18584.0390
Burkina Faso;1;22102.8380
Iraq;1;42164.9650
Sudan;0;45992.0200
