country;totSilv;pop2022
United States;959;334805.2690
United Kingdom;320;68497.9070
Germany;293;83883.5960
France;289;65584.5180
Italy;224;60262.7700
China;227;1448471.4000
Sweden;222;10218.9710
Australia;178;26068.7920
Japan;172;125584.8380
Russia;164;145805.9470
Norway;176;5511.3700
Canada;172;38388.4190
Hungary;156;9606.2590
Finland;148;5554.9600
Netherlands;148;17211.4470
Switzerland;124;8773.6370
South Korea;116;51329.8990
Austria;115;9066.7100
Poland;96;37739.7850
Romania;97;19031.3350
Cuba;71;11305.6520
Bulgaria;90;6844.5970
Denmark;79;5834.9500
Spain;72;46719.1420
Belgium;56;11668.2780
Brazil;42;215353.5930
Ukraine;37;43192.1220
New Zealand;34;4898.2030
Greece;45;10316.6370
Kenya;42;56215.2210
Turkey;26;85561.9760
Belarus;35;9432.8000
Czech Republic;32;10736.7840
South Africa;33;60756.1350
Jamaica;36;2985.0940
Kazakhstan;24;19205.0430
Argentina;26;46010.2340
Iran;23;86022.8370
Mexico;24;131562.7720
Ethiopia;12;120812.6980
North Korea;17;25990.6790
Croatia;19;4059.2860
Azerbaijan;14;10300.2050
Slovenia;14;2078.0340
Estonia;11;1321.9100
Georgia;12;3968.7380
Slovakia;18;5460.1930
Egypt;11;106156.6920
Uzbekistan;6;34382.0840
Indonesia;14;279134.5050
Ireland;10;5020.1990
Thailand;8;70078.2030
India;9;1406631.7760
Colombia;13;51512.7620
Latvia;14;1848.8370
Mongolia;11;3378.0780
Portugal;9;10140.5700
Nigeria;11;216746.9340
Lithuania;7;2661.7080
Serbia;7;8653.0160
Morocco;5;37772.7560
Trinidad and Tobago;5;1406.5850
Venezuela;7;29266.9910
Armenia;8;2971.9660
Algeria;4;45350.1480
Bahamas;2;400.5160
Tunisia;3;12046.6560
Philippines;5;112508.9940
Israel;1;8922.8920
Chile;7;19250.1950
Malaysia;8;33181.0720
Dominican Republic;5;11056.3700
Uganda;4;48432.8630
Liechtenstein;2;38.3870
Puerto Rico;2;2829.8120
Uruguay;2;3496.0160
Pakistan;3;229488.9940
Hong Kong;3;7604.2990
Qatar;1;2979.9150
Zimbabwe;4;15331.4280
Kyrgyzstan;3;6728.2710
Moldova;2;4013.1710
Cameroon;1;27911.5480
Namibia;5;2633.8740
Singapore;2;5943.5460
Ecuador;2;18113.3610
Ghana;1;32395.4500
Vietnam;3;98953.5410
Iceland;2;345.3930
Luxembourg;3;642.3710
Bahrain;2;1783.9830
Costa Rica;1;5182.3540
Lebanon;2;6684.8490
Tajikistan;1;9957.4640
Syria;1;19364.8090
Ivory Coast;1;27742.2980
Peru;3;33684.2080
Saudi Arabia;2;35844.9090
San Marino;1;34.0850
Grenada;1;113.4750
Fiji;0;909.4660
Kuwait;0;4380.3260
Panama;0;4446.9640
Jordan;1;10300.8690
Bermuda;0;61.9390
Suriname;0;596.8310
North Macedonia;1;2081.3040
Botswana;1;2441.1620
United Arab Emirates;0;10081.7850
Haiti;1;11680.2830
Burundi;1;12624.8400
Zambia;1;19470.2340
Sri Lanka;2;21575.8420
Niger;1;26083.6600
Mozambique;0;33089.4610
Afghanistan;0;40754.3880
Tanzania;2;63298.5500
Tonga;1;107.7490
Samoa;1;202.2390
Barbados;0;288.0230
Montenegro;1;627.9500
Guyana;0;794.0450
Djibouti;0;1016.0970
Cyprus;1;1223.3870
Mauritius;0;1274.7270
Gabon;1;2331.5330
Eritrea;0;3662.2440
Turkmenistan;1;6201.9430
Paraguay;1;7305.8430
Togo;0;8680.8370
Senegal;1;17653.6710
Guatemala;1;18584.0390
Burkina Faso;0;22102.8380
Iraq;0;42164.9650
Sudan;1;45992.0200
