country;totGold;pop2022
United States;1180;334805.2690
United Kingdom;296;68497.9070
Germany;293;83883.5960
France;258;65584.5180
Italy;257;60262.7700
China;275;1448471.4000
Sweden;205;10218.9710
Australia;169;26068.7920
Japan;183;125584.8380
Russia;196;145805.9470
Norway;192;5511.3700
Canada;144;38388.4190
Hungary;182;9606.2590
Finland;144;5554.9600
Netherlands;140;17211.4470
Switzerland;109;8773.6370
South Korea;127;51329.8990
Austria;83;9066.7100
Poland;79;37739.7850
Romania;90;19031.3350
Cuba;85;11305.6520
Bulgaria;55;6844.5970
Denmark;48;5834.9500
Spain;49;46719.1420
Belgium;44;11668.2780
Brazil;37;215353.5930
Ukraine;38;43192.1220
New Zealand;53;4898.2030
Greece;35;10316.6370
Kenya;35;56215.2210
Turkey;41;85561.9760
Belarus;21;9432.8000
Czech Republic;28;10736.7840
South Africa;27;60756.1350
Jamaica;26;2985.0940
Kazakhstan;16;19205.0430
Argentina;21;46010.2340
Iran;24;86022.8370
Mexico;13;131562.7720
Ethiopia;23;120812.6980
North Korea;16;25990.6790
Croatia;18;4059.2860
Azerbaijan;7;10300.2050
Slovenia;10;2078.0340
Estonia;14;1321.9100
Georgia;10;3968.7380
Slovakia;13;5460.1930
Egypt;8;106156.6920
Uzbekistan;11;34382.0840
Indonesia;8;279134.5050
Ireland;11;5020.1990
Thailand;10;70078.2030
India;10;1406631.7760
Colombia;5;51512.7620
Latvia;5;1848.8370
Mongolia;2;3378.0780
Portugal;5;10140.5700
Nigeria;3;216746.9340
Lithuania;6;2661.7080
Serbia;6;8653.0160
Morocco;7;37772.7560
Trinidad and Tobago;3;1406.5850
Venezuela;3;29266.9910
Armenia;2;2971.9660
Algeria;5;45350.1480
Bahamas;8;400.5160
Tunisia;5;12046.6560
Philippines;1;112508.9940
Israel;3;8922.8920
Chile;2;19250.1950
Malaysia;0;33181.0720
Dominican Republic;3;11056.3700
Uganda;4;48432.8630
Liechtenstein;2;38.3870
Puerto Rico;2;2829.8120
Uruguay;2;3496.0160
Pakistan;3;229488.9940
Hong Kong;2;7604.2990
Qatar;2;2979.9150
Zimbabwe;3;15331.4280
Kyrgyzstan;0;6728.2710
Moldova;0;4013.1710
Cameroon;3;27911.5480
Namibia;0;2633.8740
Singapore;1;5943.5460
Ecuador;3;18113.3610
Ghana;0;32395.4500
Vietnam;1;98953.5410
Iceland;0;345.3930
Luxembourg;1;642.3710
Bahrain;2;1783.9830
Costa Rica;1;5182.3540
Lebanon;0;6684.8490
Tajikistan;1;9957.4640
Syria;1;19364.8090
Ivory Coast;1;27742.2980
Peru;1;33684.2080
Saudi Arabia;0;35844.9090
San Marino;0;34.0850
Grenada;1;113.4750
Fiji;2;909.4660
Kuwait;0;4380.3260
Panama;1;4446.9640
Jordan;1;10300.8690
Bermuda;1;61.9390
Suriname;1;596.8310
North Macedonia;0;2081.3040
Botswana;0;2441.1620
United Arab Emirates;1;10081.7850
Haiti;0;11680.2830
Burundi;1;12624.8400
Zambia;0;19470.2340
Sri Lanka;0;21575.8420
Niger;0;26083.6600
Mozambique;1;33089.4610
Afghanistan;0;40754.3880
Tanzania;0;63298.5500
Tonga;0;107.7490
Samoa;0;202.2390
Barbados;0;288.0230
Montenegro;0;627.9500
Guyana;0;794.0450
Djibouti;0;1016.0970
Cyprus;0;1223.3870
Mauritius;0;1274.7270
Gabon;0;2331.5330
Eritrea;0;3662.2440
Turkmenistan;0;6201.9430
Paraguay;0;7305.8430
Togo;0;8680.8370
Senegal;0;17653.6710
Guatemala;0;18584.0390
Burkina Faso;0;22102.8380
Iraq;0;42164.9650
Sudan;0;45992.0200
